iter	Logloss
0	0.5922238501
1	0.5157323807
2	0.4557932012
3	0.4113598243
4	0.3719803046
5	0.3507227517
6	0.3291280689
7	0.3113736141
8	0.2988546856
9	0.286070639
10	0.2774741137
11	0.2686116302
12	0.2639312473
13	0.2549147394
14	0.2492348381
15	0.24453589
16	0.2384808339
17	0.2360888086
18	0.2323470988
19	0.2290124165
20	0.2240138757
21	0.2210161877
22	0.2170236564
23	0.2139012555
24	0.2113558835
25	0.2068134938
26	0.2024570147
27	0.1989928495
28	0.1961546876
29	0.1946452329
30	0.1919629519
31	0.1908440327
32	0.1889814712
33	0.1870139954
34	0.184852058
35	0.1821902666
36	0.1807609545
37	0.1787702923
38	0.1775825324
39	0.1762184021
40	0.1742931793
41	0.1733059248
42	0.1721047356
43	0.170333903
44	0.168528379
45	0.1674086738
46	0.1658314625
47	0.1634212379
48	0.160899784
49	0.1590977291
50	0.1577101008
51	0.1559891777
52	0.1548492269
53	0.1534426267
54	0.1512777081
55	0.1505460316
56	0.1487741555
57	0.1471673752
58	0.1461309159
59	0.1453379602
60	0.1430286658
61	0.1414741259
62	0.1401280188
63	0.1395346199
64	0.1387060514
65	0.137278528
66	0.1364472628
67	0.134045589
68	0.1331591428
69	0.1319927263
70	0.1312045272
71	0.1297273653
72	0.129037996
73	0.1280163211
74	0.1267217226
75	0.1257401461
76	0.1245625769
77	0.123779988
78	0.1223764775
79	0.1213621475
80	0.1204540192
81	0.1196430403
82	0.1187990775
83	0.1177375753
84	0.116755782
85	0.1162763633
86	0.1150765156
87	0.1146170852
88	0.1139411316
89	0.1126018477
90	0.1119732222
91	0.1107931323
92	0.1099626938
93	0.1087423497
94	0.1079349823
95	0.1068727348
96	0.1060076861
97	0.1054356644
98	0.1044020712
99	0.1037640682
100	0.1031295343
101	0.1025826978
102	0.1014339386
103	0.1009845361
104	0.1002133845
105	0.0993447109
106	0.09852236922
107	0.09775163776
108	0.09743516017
109	0.0966478961
110	0.09612360898
111	0.09571998285
112	0.09486936634
113	0.09409941407
114	0.09371726678
115	0.09332025369
116	0.09222894536
117	0.09146275359
118	0.09085322866
119	0.0900768734
120	0.0889971108
121	0.08841980414
122	0.08784862268
123	0.08746828448
124	0.08701314977
125	0.0864872636
126	0.08586302193
127	0.085629099
128	0.08526519857
129	0.08454049417
130	0.08425574023
131	0.08358711798
132	0.08288193427
133	0.0824595531
134	0.08149553235
135	0.08069777955
136	0.08018392695
137	0.07976221657
138	0.07922716971
139	0.07880379929
140	0.07834869168
141	0.07782387606
142	0.07693181961
143	0.07652267808
144	0.07607196788
145	0.07545537593
146	0.07489755607
147	0.07432730964
148	0.07378022243
149	0.07350822706
150	0.07318512288
151	0.07281610682
152	0.07235889875
153	0.07196778048
154	0.07098745749
155	0.07049065924
156	0.07002599794
157	0.06948649269
158	0.06863435843
159	0.06787862151
160	0.06729710716
161	0.06671249634
162	0.06636199138
163	0.06572712548
164	0.06529967611
165	0.06476491383
166	0.06382001399
167	0.06327616554
168	0.06293455703
169	0.06264101506
170	0.06227418076
171	0.06161043699
172	0.06099936043
173	0.06041470218
174	0.05973198655
175	0.05905393258
176	0.0588463331
177	0.05837085107
178	0.05796345089
179	0.05746174028
180	0.05689755807
181	0.05668157371
182	0.05646960054
183	0.05576949179
184	0.05513286421
185	0.05486034034
186	0.05410476942
187	0.05393518478
188	0.05384005111
189	0.05377177616
190	0.05322625413
191	0.05291042701
192	0.05257993735
193	0.05222318863
194	0.05198776489
195	0.051602555
196	0.05123662186
197	0.05099429712
198	0.05049642492
199	0.05023154061
